season,timestamp,AirTemp
winter,00:00:00,28.829956317204303
winter,01:00:00,28.55857334869432
winter,02:00:00,28.090202296862245
winter,03:00:00,27.77023569508448
winter,04:00:00,27.581550622267088
winter,05:00:00,27.19460685483872
winter,06:00:00,27.00757728494624
winter,07:00:00,26.831317204301065
winter,08:00:00,27.660793490783412
winter,09:00:00,29.100741647465426
winter,10:00:00,30.034026177675383
winter,11:00:00,31.93236847158217
winter,12:00:00,33.04047379032257
winter,13:00:00,33.555694104079556
winter,14:00:00,34.22474798387096
winter,15:00:00,34.128024193548384
winter,16:00:00,33.684141385048655
winter,17:00:00,32.22273905529954
winter,18:00:00,31.343398377496168
winter,19:00:00,30.943471659919023
winter,20:00:00,30.31510507036822
winter,21:00:00,29.896615336417966
winter,22:00:00,29.66055523423945
winter,23:00:00,29.12266001542318
