season,timestamp,MW
winter,00:00:00,2037.5753286147624
winter,01:00:00,1946.6848484848485
winter,02:00:00,1893.7656565656566
winter,03:00:00,1865.6909090909091
winter,04:00:00,1862.5080808080809
winter,05:00:00,1897.1333333333334
winter,06:00:00,1998.5626262626263
winter,07:00:00,2172.2272727272725
winter,08:00:00,2297.8929292929292
winter,09:00:00,2314.5171717171715
winter,10:00:00,2327.8121212121214
winter,11:00:00,2328.4262626262625
winter,12:00:00,2303.1232323232325
winter,13:00:00,2276.492929292929
winter,14:00:00,2246.1343434343435
winter,15:00:00,2212.6373737373738
winter,16:00:00,2185.2181818181816
winter,17:00:00,2206.608080808081
winter,18:00:00,2305.079797979798
winter,19:00:00,2391.870707070707
winter,20:00:00,2382.389898989899
winter,21:00:00,2345.4656565656564
winter,22:00:00,2275.1242424242423
winter,23:00:00,2161.120202020202
