season,timestamp,MW
summer,00:00:00,2088.2332015810275
summer,01:00:00,1918.0859683794467
summer,02:00:00,1795.0365612648222
summer,03:00:00,1710.8132411067193
summer,04:00:00,1659.7588932806325
summer,05:00:00,1654.7608695652175
summer,06:00:00,1715.9565217391305
summer,07:00:00,1829.0573122529645
summer,08:00:00,1943.455533596838
summer,09:00:00,2071.840909090909
summer,10:00:00,2199.8804347826085
summer,11:00:00,2324.3922924901185
summer,12:00:00,2418.604743083004
summer,13:00:00,2503.6966403162055
summer,14:00:00,2570.558300395257
summer,15:00:00,2612.292490118577
summer,16:00:00,2627.2509881422925
summer,17:00:00,2643.554347826087
summer,18:00:00,2637.596837944664
summer,19:00:00,2594.203557312253
summer,20:00:00,2519.816205533597
summer,21:00:00,2454.903162055336
summer,22:00:00,2432.439723320158
summer,23:00:00,2290.0474308300395
