season,timestamp,MW
fall,00:00:00,1757.959040959041
fall,01:00:00,1653.4035964035963
fall,02:00:00,1584.7515090543259
fall,03:00:00,1542.5864135864135
fall,04:00:00,1525.98001998002
fall,05:00:00,1547.7172827172826
fall,06:00:00,1640.001998001998
fall,07:00:00,1821.072927072927
fall,08:00:00,1936.889110889111
fall,09:00:00,1971.1818181818182
fall,10:00:00,2013.7272727272727
fall,11:00:00,2049.968031968032
fall,12:00:00,2061.663336663337
fall,13:00:00,2073.228771228771
fall,14:00:00,2077.6813186813188
fall,15:00:00,2070.066933066933
fall,16:00:00,2052.5824175824177
fall,17:00:00,2059.5024975024976
fall,18:00:00,2090.2897102897105
fall,19:00:00,2101.688311688312
fall,20:00:00,2113.5864135864135
fall,21:00:00,2109.063936063936
fall,22:00:00,2027.1738261738262
fall,23:00:00,1894.037962037962
