season,timestamp,AirTemp
spring,00:00:00,48.30932147562583
spring,01:00:00,47.89080792396011
spring,02:00:00,46.98059123847165
spring,03:00:00,46.32711980048937
spring,04:00:00,45.97284020327498
spring,05:00:00,45.47446122717862
spring,06:00:00,46.49719085262563
spring,07:00:00,47.80358554488989
spring,08:00:00,51.098738802451685
spring,09:00:00,53.379985855728435
spring,10:00:00,54.63453792584225
spring,11:00:00,57.0425952144981
spring,12:00:00,58.44907590759075
spring,13:00:00,59.06299171842651
spring,14:00:00,59.998784746802585
spring,15:00:00,60.079244971974944
spring,16:00:00,59.792838302482195
spring,17:00:00,58.471579294427954
spring,18:00:00,56.34295125164689
spring,19:00:00,55.08664008093356
spring,20:00:00,52.71307641633731
spring,21:00:00,51.51884272997033
spring,22:00:00,50.87912015449109
spring,23:00:00,49.55966040224201
