season,timestamp,AirTemp
fall,00:00:00,50.76616716616716
fall,01:00:00,50.36807500000001
fall,02:00:00,49.48218448218447
fall,03:00:00,48.94637862137862
fall,04:00:00,48.63020986949559
fall,05:00:00,48.08003663003663
fall,06:00:00,47.97323333333333
fall,07:00:00,49.01730491730493
fall,08:00:00,52.62286047286046
fall,09:00:00,55.49334999999998
fall,10:00:00,57.057425907425916
fall,11:00:00,59.839477189477186
fall,12:00:00,61.14581371009942
fall,13:00:00,61.69153069153072
fall,14:00:00,62.3475357975358
fall,15:00:00,62.12100042814329
fall,16:00:00,61.335833214404644
fall,17:00:00,58.69365634365634
fall,18:00:00,56.5717032967033
fall,19:00:00,55.57540792540794
fall,20:00:00,53.88996003996004
fall,21:00:00,52.83484848484849
fall,22:00:00,52.33396999825575
fall,23:00:00,51.136679986679994
