season,timestamp,AirTemp
summer,00:00:00,68.15426548089592
summer,01:00:00,67.6808512140034
summer,02:00:00,66.59323122529645
summer,03:00:00,65.95619471108601
summer,04:00:00,65.64247051257924
summer,05:00:00,65.42166384340297
summer,06:00:00,67.37172266139656
summer,07:00:00,69.00529361942405
summer,08:00:00,72.83484998351467
summer,09:00:00,75.28700396825394
summer,10:00:00,76.4698027278305
summer,11:00:00,78.71097098582263
summer,12:00:00,79.86490099009902
summer,13:00:00,80.32601049313006
summer,14:00:00,81.01189535102577
summer,15:00:00,81.00278326745718
summer,16:00:00,80.65100225861094
summer,17:00:00,79.36773009599098
summer,18:00:00,77.38250988142292
summer,19:00:00,75.78850696405043
summer,20:00:00,72.67831027667984
summer,21:00:00,71.31140951439865
summer,22:00:00,70.656691134952
summer,23:00:00,69.12144862900564
